study-id,file-id,type,links.self,meta,pipelines,alias,file-format.name,file-format.extension,description.label,description.description,group-type,experiment_type
MGYS00005333,ERP108859_phylum_taxonomy_abundances_SSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/5.0/file/ERP108859_phylum_taxonomy_abundances_SSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP108859_phylum_taxonomy_abundances_SSU_v5.0.tsv,TSV,tsv,Phylum level taxonomies SSU,Phylum level taxonomies SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00005333,ERP108859_taxonomy_abundances_SSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/5.0/file/ERP108859_taxonomy_abundances_SSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP108859_taxonomy_abundances_SSU_v5.0.tsv,TSV,tsv,Taxonomic assignments SSU,Taxonomic assignments SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00005333,ERP108859_phylum_taxonomy_abundances_LSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/5.0/file/ERP108859_phylum_taxonomy_abundances_LSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP108859_phylum_taxonomy_abundances_LSU_v5.0.tsv,TSV,tsv,Phylum level taxonomies LSU,Phylum level taxonomies LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00005333,ERP108859_taxonomy_abundances_LSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005333/pipelines/5.0/file/ERP108859_taxonomy_abundances_LSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP108859_taxonomy_abundances_LSU_v5.0.tsv,TSV,tsv,Taxonomic assignments LSU,Taxonomic assignments LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00005230,ERP005153_phylum_taxonomy_abundances_SSU_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/pipelines/4.1/file/ERP005153_phylum_taxonomy_abundances_SSU_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP005153_phylum_taxonomy_abundances_SSU_v4.1.tsv,TSV,tsv,Phylum level taxonomies SSU,Phylum level taxonomies SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00005230,ERP005153_taxonomy_abundances_SSU_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/pipelines/4.1/file/ERP005153_taxonomy_abundances_SSU_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP005153_taxonomy_abundances_SSU_v4.1.tsv,TSV,tsv,Taxonomic assignments SSU,Taxonomic assignments SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00005230,ERP005153_phylum_taxonomy_abundances_LSU_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/pipelines/4.1/file/ERP005153_phylum_taxonomy_abundances_LSU_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP005153_phylum_taxonomy_abundances_LSU_v4.1.tsv,TSV,tsv,Phylum level taxonomies LSU,Phylum level taxonomies LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00005230,ERP005153_taxonomy_abundances_LSU_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/pipelines/4.1/file/ERP005153_taxonomy_abundances_LSU_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP005153_taxonomy_abundances_LSU_v4.1.tsv,TSV,tsv,Taxonomic assignments LSU,Taxonomic assignments LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00005230,ERP005153_phylum_taxonomy_abundances_SSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/pipelines/5.0/file/ERP005153_phylum_taxonomy_abundances_SSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP005153_phylum_taxonomy_abundances_SSU_v5.0.tsv,TSV,tsv,Phylum level taxonomies SSU,Phylum level taxonomies SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00005230,ERP005153_taxonomy_abundances_SSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/pipelines/5.0/file/ERP005153_taxonomy_abundances_SSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP005153_taxonomy_abundances_SSU_v5.0.tsv,TSV,tsv,Taxonomic assignments SSU,Taxonomic assignments SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00005230,ERP005153_phylum_taxonomy_abundances_LSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/pipelines/5.0/file/ERP005153_phylum_taxonomy_abundances_LSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP005153_phylum_taxonomy_abundances_LSU_v5.0.tsv,TSV,tsv,Phylum level taxonomies LSU,Phylum level taxonomies LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00005230,ERP005153_taxonomy_abundances_LSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005230/pipelines/5.0/file/ERP005153_taxonomy_abundances_LSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP005153_taxonomy_abundances_LSU_v5.0.tsv,TSV,tsv,Taxonomic assignments LSU,Taxonomic assignments LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00002061,ERP104235_GO-slim_abundances_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.0/file/ERP104235_GO-slim_abundances_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104235_GO-slim_abundances_v4.0.tsv,TSV,tsv,GO slim annotation,GO slim annotation,Functional analysis,amplicon
MGYS00002061,ERP104235_GO_abundances_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.0/file/ERP104235_GO_abundances_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104235_GO_abundances_v4.0.tsv,TSV,tsv,Complete GO annotation,Complete GO annotation,Functional analysis,amplicon
MGYS00002061,ERP104235_IPR_abundances_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.0/file/ERP104235_IPR_abundances_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104235_IPR_abundances_v4.0.tsv,TSV,tsv,InterPro matches,InterPro matches (TSV),Functional analysis,amplicon
MGYS00002061,ERP104235_phylum_taxonomy_abundances_SSU_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.0/file/ERP104235_phylum_taxonomy_abundances_SSU_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104235_phylum_taxonomy_abundances_SSU_v4.0.tsv,TSV,tsv,Phylum level taxonomies SSU,Phylum level taxonomies SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00002061,ERP104235_taxonomy_abundances_SSU_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.0/file/ERP104235_taxonomy_abundances_SSU_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104235_taxonomy_abundances_SSU_v4.0.tsv,TSV,tsv,Taxonomic assignments SSU,Taxonomic assignments SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00002061,ERP104235_phylum_taxonomy_abundances_LSU_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.0/file/ERP104235_phylum_taxonomy_abundances_LSU_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104235_phylum_taxonomy_abundances_LSU_v4.0.tsv,TSV,tsv,Phylum level taxonomies LSU,Phylum level taxonomies LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00002061,ERP104235_taxonomy_abundances_LSU_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.0/file/ERP104235_taxonomy_abundances_LSU_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104235_taxonomy_abundances_LSU_v4.0.tsv,TSV,tsv,Taxonomic assignments LSU,Taxonomic assignments LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00002061,ERP104235_diversity_LSU_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.0/file/ERP104235_diversity_LSU_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104235_diversity_LSU_v4.0.tsv,TSV,tsv,Taxonomic diversity metrics LSU,Taxonomic diversity metrics LSU rRNA (TSV),Statistics,amplicon
MGYS00002061,ERP104235_diversity_SSU_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.0/file/ERP104235_diversity_SSU_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104235_diversity_SSU_v4.0.tsv,TSV,tsv,Taxonomic diversity metrics SSU,Taxonomic diversity metrics SSU rRNA (TSV),Statistics,amplicon
MGYS00002061,ERP104235_GO-slim_abundances_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.1/file/ERP104235_GO-slim_abundances_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP104235_GO-slim_abundances_v4.1.tsv,TSV,tsv,GO slim annotation,GO slim annotation,Functional analysis,amplicon
MGYS00002061,ERP104235_GO_abundances_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.1/file/ERP104235_GO_abundances_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP104235_GO_abundances_v4.1.tsv,TSV,tsv,Complete GO annotation,Complete GO annotation,Functional analysis,amplicon
MGYS00002061,ERP104235_IPR_abundances_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.1/file/ERP104235_IPR_abundances_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP104235_IPR_abundances_v4.1.tsv,TSV,tsv,InterPro matches,InterPro matches (TSV),Functional analysis,amplicon
MGYS00002061,ERP104235_phylum_taxonomy_abundances_SSU_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.1/file/ERP104235_phylum_taxonomy_abundances_SSU_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP104235_phylum_taxonomy_abundances_SSU_v4.1.tsv,TSV,tsv,Phylum level taxonomies SSU,Phylum level taxonomies SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00002061,ERP104235_taxonomy_abundances_SSU_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.1/file/ERP104235_taxonomy_abundances_SSU_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP104235_taxonomy_abundances_SSU_v4.1.tsv,TSV,tsv,Taxonomic assignments SSU,Taxonomic assignments SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00002061,ERP104235_phylum_taxonomy_abundances_LSU_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.1/file/ERP104235_phylum_taxonomy_abundances_LSU_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP104235_phylum_taxonomy_abundances_LSU_v4.1.tsv,TSV,tsv,Phylum level taxonomies LSU,Phylum level taxonomies LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00002061,ERP104235_taxonomy_abundances_LSU_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/4.1/file/ERP104235_taxonomy_abundances_LSU_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP104235_taxonomy_abundances_LSU_v4.1.tsv,TSV,tsv,Taxonomic assignments LSU,Taxonomic assignments LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00002061,ERP104235_GO-slim_abundances_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/5.0/file/ERP104235_GO-slim_abundances_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP104235_GO-slim_abundances_v5.0.tsv,TSV,tsv,GO slim annotation,GO slim annotation,Functional analysis,amplicon
MGYS00002061,ERP104235_GO_abundances_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/5.0/file/ERP104235_GO_abundances_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP104235_GO_abundances_v5.0.tsv,TSV,tsv,Complete GO annotation,Complete GO annotation,Functional analysis,amplicon
MGYS00002061,ERP104235_IPR_abundances_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/5.0/file/ERP104235_IPR_abundances_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP104235_IPR_abundances_v5.0.tsv,TSV,tsv,InterPro matches,InterPro matches (TSV),Functional analysis,amplicon
MGYS00002061,ERP104235_phylum_taxonomy_abundances_SSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/5.0/file/ERP104235_phylum_taxonomy_abundances_SSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP104235_phylum_taxonomy_abundances_SSU_v5.0.tsv,TSV,tsv,Phylum level taxonomies SSU,Phylum level taxonomies SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00002061,ERP104235_taxonomy_abundances_SSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/5.0/file/ERP104235_taxonomy_abundances_SSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP104235_taxonomy_abundances_SSU_v5.0.tsv,TSV,tsv,Taxonomic assignments SSU,Taxonomic assignments SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00002061,ERP104235_phylum_taxonomy_abundances_LSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/5.0/file/ERP104235_phylum_taxonomy_abundances_LSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP104235_phylum_taxonomy_abundances_LSU_v5.0.tsv,TSV,tsv,Phylum level taxonomies LSU,Phylum level taxonomies LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00002061,ERP104235_taxonomy_abundances_LSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002061/pipelines/5.0/file/ERP104235_taxonomy_abundances_LSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP104235_taxonomy_abundances_LSU_v5.0.tsv,TSV,tsv,Taxonomic assignments LSU,Taxonomic assignments LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00006551,ERP152745_GO-slim_abundances_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/pipelines/5.0/file/ERP152745_GO-slim_abundances_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP152745_GO-slim_abundances_v5.0.tsv,TSV,tsv,GO slim annotation,GO slim annotation,Functional analysis,amplicon
MGYS00006551,ERP152745_GO_abundances_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/pipelines/5.0/file/ERP152745_GO_abundances_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP152745_GO_abundances_v5.0.tsv,TSV,tsv,Complete GO annotation,Complete GO annotation,Functional analysis,amplicon
MGYS00006551,ERP152745_IPR_abundances_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/pipelines/5.0/file/ERP152745_IPR_abundances_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP152745_IPR_abundances_v5.0.tsv,TSV,tsv,InterPro matches,InterPro matches (TSV),Functional analysis,amplicon
MGYS00006551,ERP152745_phylum_taxonomy_abundances_SSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/pipelines/5.0/file/ERP152745_phylum_taxonomy_abundances_SSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP152745_phylum_taxonomy_abundances_SSU_v5.0.tsv,TSV,tsv,Phylum level taxonomies SSU,Phylum level taxonomies SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00006551,ERP152745_taxonomy_abundances_SSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/pipelines/5.0/file/ERP152745_taxonomy_abundances_SSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP152745_taxonomy_abundances_SSU_v5.0.tsv,TSV,tsv,Taxonomic assignments SSU,Taxonomic assignments SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00006551,ERP152745_phylum_taxonomy_abundances_LSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/pipelines/5.0/file/ERP152745_phylum_taxonomy_abundances_LSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP152745_phylum_taxonomy_abundances_LSU_v5.0.tsv,TSV,tsv,Phylum level taxonomies LSU,Phylum level taxonomies LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00006551,ERP152745_taxonomy_abundances_LSU_v5.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006551/pipelines/5.0/file/ERP152745_taxonomy_abundances_LSU_v5.0.tsv,{},pipelines: 5.0 (125013545906448),ERP152745_taxonomy_abundances_LSU_v5.0.tsv,TSV,tsv,Taxonomic assignments LSU,Taxonomic assignments LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00001988,ERP104038_GO-slim_abundances_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001988/pipelines/4.0/file/ERP104038_GO-slim_abundances_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104038_GO-slim_abundances_v4.0.tsv,TSV,tsv,GO slim annotation,GO slim annotation,Functional analysis,amplicon
MGYS00001988,ERP104038_GO_abundances_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001988/pipelines/4.0/file/ERP104038_GO_abundances_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104038_GO_abundances_v4.0.tsv,TSV,tsv,Complete GO annotation,Complete GO annotation,Functional analysis,amplicon
MGYS00001988,ERP104038_IPR_abundances_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001988/pipelines/4.0/file/ERP104038_IPR_abundances_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104038_IPR_abundances_v4.0.tsv,TSV,tsv,InterPro matches,InterPro matches (TSV),Functional analysis,amplicon
MGYS00001988,ERP104038_phylum_taxonomy_abundances_SSU_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001988/pipelines/4.0/file/ERP104038_phylum_taxonomy_abundances_SSU_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104038_phylum_taxonomy_abundances_SSU_v4.0.tsv,TSV,tsv,Phylum level taxonomies SSU,Phylum level taxonomies SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00001988,ERP104038_taxonomy_abundances_SSU_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001988/pipelines/4.0/file/ERP104038_taxonomy_abundances_SSU_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104038_taxonomy_abundances_SSU_v4.0.tsv,TSV,tsv,Taxonomic assignments SSU,Taxonomic assignments SSU (TSV),Taxonomic analysis SSU rRNA,amplicon
MGYS00001988,ERP104038_phylum_taxonomy_abundances_LSU_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001988/pipelines/4.0/file/ERP104038_phylum_taxonomy_abundances_LSU_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104038_phylum_taxonomy_abundances_LSU_v4.0.tsv,TSV,tsv,Phylum level taxonomies LSU,Phylum level taxonomies LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00001988,ERP104038_taxonomy_abundances_LSU_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001988/pipelines/4.0/file/ERP104038_taxonomy_abundances_LSU_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104038_taxonomy_abundances_LSU_v4.0.tsv,TSV,tsv,Taxonomic assignments LSU,Taxonomic assignments LSU (TSV),Taxonomic analysis LSU rRNA,amplicon
MGYS00001988,ERP104038_diversity_LSU_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001988/pipelines/4.0/file/ERP104038_diversity_LSU_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104038_diversity_LSU_v4.0.tsv,TSV,tsv,Taxonomic diversity metrics LSU,Taxonomic diversity metrics LSU rRNA (TSV),Statistics,amplicon
MGYS00001988,ERP104038_diversity_SSU_v4.0.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001988/pipelines/4.0/file/ERP104038_diversity_SSU_v4.0.tsv,{},pipelines: 4.0 (125013544062032),ERP104038_diversity_SSU_v4.0.tsv,TSV,tsv,Taxonomic diversity metrics SSU,Taxonomic diversity metrics SSU rRNA (TSV),Statistics,amplicon
MGYS00001988,ERP104038_GO-slim_abundances_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001988/pipelines/4.1/file/ERP104038_GO-slim_abundances_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP104038_GO-slim_abundances_v4.1.tsv,TSV,tsv,GO slim annotation,GO slim annotation,Functional analysis,amplicon
MGYS00001988,ERP104038_GO_abundances_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001988/pipelines/4.1/file/ERP104038_GO_abundances_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP104038_GO_abundances_v4.1.tsv,TSV,tsv,Complete GO annotation,Complete GO annotation,Functional analysis,amplicon
MGYS00001988,ERP104038_IPR_abundances_v4.1.tsv,study-downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001988/pipelines/4.1/file/ERP104038_IPR_abundances_v4.1.tsv,{},pipelines: 4.1 (125013546277248),ERP104038_IPR_abundances_v4.1.tsv,TSV,tsv,InterPro matches,InterPro matches (TSV),Functional analysis,amplicon
