id,sample-count,bioproject,secondary-accession,study-abstract,study-name,samples
MGYS00003619,764,PRJEB26925,ERP108956,"The human gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA290380.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.","EMG produced TPA metagenomics assembly of the A longitudinal analysis of the developing gut microbiome in infants from Finland, Estonia, and Russian Karelia (human gut metagenome) data set.","SRS1735659,SRS1719564,SRS1719438,SRS1719302,SRS1719409,SRS1735461,SRS1735524,SRS1719453,SRS1719314,SRS1719272,SRS1719096,SRS1719448,SRS1719470,SRS1719109,SRS1719135,SRS1719361,SRS1719094,SRS1719115,SRS1719173,SRS1719152,SRS1735617,SRS1735581,SRS1719543,SRS1719281,SRS1735559"
MGYS00001189,408,PRJNA318004,SRP073172,Using DNA extracted from fecal immunochemical test cartridges rather than directly from stool for detecting colorectal cancer based on the gut microbiome.,DNA from FIT can replace stool for microbiota-based colorectal,"SRS1386982,SRS1386983,SRS1386975,SRS1386973,SRS1386967,SRS1386956,SRS1386957,SRS1386958,SRS1386953,SRS1386885,SRS1386945,SRS1386939,SRS1386937,SRS1386934,SRS1386933,SRS1386927,SRS1386923,SRS1386924,SRS1386922,SRS1386915,SRS1386913,SRS1386908,SRS1386910,SRS1386904,SRS1386903"
MGYS00001255,350,PRJNA307231,SRP068240,"The precise effects of HIV-1 on the human microbiome are unclear. Initial cross-sectional studies provided contradictory associations between microbial richness and HIV status and suggested shifts from Bacteroides to Prevotella predominance following HIV-1 infection, which have not been found in animal models or in studies matched for HIV-1 risk groups.This was a cross-sectional study where we first tested 129 HIV-1-infected subjects and 27 HIV-negative controls in Barcelona (BCN0). Findings were internally validated in 110 subjects from BCN0 providing a second fecal sample 1 month later. External validation was obtained in 77 HIV-1-infected and 7 non-infected subjects from Stockholm. In all study participants, we produced MiSeq 16S rRNA data on fecal microbiomes and collected comprehensive metadata.",Human feces metagenome 16s rDNA sequencing,"SRS1243540,SRS1243543,SRS1243536,SRS1243479,SRS1243511,SRS1243545,SRS1243547,SRS1243546,SRS1243399,SRS1243398,SRS1243402,SRS1243533,SRS1243526,SRS1243524,SRS1243406,SRS1243411,SRS1243410,SRS1243404,SRS1243422,SRS1243421,SRS1243419,SRS1243431,SRS1243518,SRS1243443,SRS1243437"
MGYS00003575,123,PRJEB26165,ERP108138,"The human gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA240307.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the C.diff FMT (human gut metagenome) data set.,"SRS576058,SRS576060,SRS580195,SRS576033,SRS575981,SRS576049,SRS580156,SRS576002,SRS644252,SRS576016,SRS575999,SRS575988,SRS576050,SRS576005,SRS580216,SRS575977,SRS575992,SRS576040,SRS576026,SRS576007,SRS576018,SRS576097,SRS575993,SRS576044,SRS575982"
MGYS00006553,82,PRJEB67980,ERP152995,"The Third Party Annotation (TPA)  assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB27928, and was assembled with metaspades v3.15.3. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJEB27928 data set (Meta-analysis of fecal metagenomes reveals global microbial signatures that are specific for colorectal cancer.).,"ERS2637865,ERS2637824,ERS2637811,ERS2637817,ERS2637838,ERS2637839,ERS2637863,ERS2637795,ERS2637814,ERS2637821,ERS2637827,ERS2637845,ERS2637860,ERS2637790,ERS2637800,ERS2637813,ERS2637832,ERS2637812,ERS2637820,ERS2637801,ERS2637809,ERS2637818,ERS2637822,ERS2637847,ERS2637833"
MGYS00001278,820,PRJEB6518,ERP006059,"Background,disturbance to human microbiota has been associated with numerous pathologies. Yet, we lack a comprehensive understanding for how human health and lifestyle affect the dynamics of human-associated microbial communities. Results, we link over 10,000 longitudinal measurements of host wellness and action to the daily gut and salivary microbiota dynamics of two individuals over the course of one year. These time-series show overall microbial communities to be stable for months. However, rare events in each of the subjects life rapidly and broadly impacted microbiota dynamics. Travel from the developed to the developing world in one subject led to a nearly two-fold increase in the Bacteroidetes to Firmicutes ratio, which reversed upon return. Enteric infection in the other subject resulted in the permanent decline of most gut bacterial taxa, which were replaced by genetically-similar species. Still, even during periods of overall community stability, we could associate the dynamics of select microbial taxa to specific host behaviors. Most prominently, changes in host fiber intake correlated with next-day abundance changes among 15 percent of gut microbiota members.Conclusions,our findings suggest that although human-associated microbial communities are generally stable, they can be quickly and profoundly altered by common human actions and experiences.",Host lifestyle affects human microbiota on daily timescales,"ERS478602,ERS478605,ERS478610,ERS478612,ERS478614,ERS478615,ERS478617,ERS478618,ERS478623,ERS478624,ERS478627,ERS478634,ERS478638,ERS478644,ERS478656,ERS478657,ERS478659,ERS478663,ERS478669,ERS478673,ERS478675,ERS478677,ERS478683,ERS478684,ERS478685"
MGYS00000580,75,PRJEB11846,ERP013262,Characterization of gut microbiota in Juvenile Idiopathic arthritis and comparison with healthy subjects.,Gut microbiota of Juvenile Idiopathic arthritis,"ERS979639,ERS979640,ERS979647,ERS979656,ERS979658,ERS979659,ERS979661,ERS979666,ERS979669,ERS979670,ERS979673,ERS979674,ERS979675,ERS979677,ERS979682,ERS979689,ERS979694,ERS979699,ERS979704,ERS979707,ERS979636,ERS979637,ERS979641,ERS979644,ERS979646"
MGYS00001211,8,PRJNA326143,SRP076746,"The objective of this study was to investigate the general characteristics and environmental factors, such as dietary pattern and physical activities, of elderly women from Seoul and Jeju Island, and to characterize the composition of their fecal microbiota",human gut metagenome Metagenome,"SRS1511061,SRS1530025,SRS1530026,SRS1511050,SRS1530023,SRS1530027,SRS1530022,SRS1530024"
MGYS00006023,131,PRJNA787810,SRP350207,"In the context of the COVID-19 pandemic, the role of the gut microbiome is yet unknown. The aim of this trial is to evaluate the clinical contribution of the gut microbiome composition and diversity on the disease severity and to estimate the viral load in stool samples.",Observational Study on the Diagnostic Evaluation of the Intestinal Microbiota of Patients With COVID-19. (EDIFICE),"SRS11279032,SRS11278999,SRS11278996,SRS11278993,SRS11279023,SRS11278931,SRS11279050,SRS11279048,SRS11279047,SRS11279046,SRS11279043,SRS11279044,SRS11279040,SRS11279042,SRS11279039,SRS11279041,SRS11279037,SRS11279038,SRS11279035,SRS11279036,SRS11279034,SRS11279031,SRS11279033,SRS11279030,SRS11279126"
MGYS00006121,42,PRJEB57228,ERP142200,[Placeholder],Dietary intervention of people with Parkinson's disease,"ERS13657242,ERS13657243,ERS13657266,ERS13657245,ERS13657265,ERS13657229,ERS13657232,ERS13657255,ERS13657253,ERS13657257,ERS13657272,ERS13657234,ERS13657237,ERS13657244,ERS13657262,ERS13657259,ERS13657249,ERS13657256,ERS13657252,ERS13657230,ERS13657271,ERS13657238,ERS13657269,ERS13657261,ERS13657254"
MGYS00006226,67,PRJNA774891,SRP343296,"Aim of this project was to investgigate the effect of fiber-rich diets in the human gut microbiome. The participants were asked to visit the study center sober and received the intervention meal or placebo meal. Additionally, a capsule with food coloring was administered. The intake of the dye stains the stool green which helps to associate collected stool samples and food intake. 16S rRNA gene was sequenced at ZIEL Core Facility Microbiome, Technical University Munich, Germany.",Effects of Dietary Fiber Intervention on Gut Microbiota in Healthy People,"SRS10733356,SRS10733357,SRS10733358,SRS10733359,SRS10733360,SRS10733361,SRS10733362,SRS10733363,SRS10733364,SRS10733365,SRS10733366,SRS10733367,SRS10733368,SRS10733369,SRS10733370,SRS10733371,SRS10733372,SRS10733373,SRS10733374,SRS10733375,SRS10733376,SRS10733377,SRS10733378,SRS10733379,SRS10733380"
MGYS00006224,100,PRJEB52848,ERP137596,"in the present study, we examined the effect of bovine lactoferrin, galactoligosacharides and vitamind D on the gut microbiota composition of 25 elderly women. Participants were distributed into two groups receiving either the dietary intervention (n=12) or the placebo treatment (n=13) for a total period of 9 weeks. During the first 3 weeks of the study, the intervention group consumed 1 g/day bLF, followed by 3 weeks of 1 g/day bLF and 2.64g/day active galactooligosaccharides (GOS), and 3 weeks of 1 g/day bLF, 2.64g/day GOS and 20 μg/day of vitamin D. The placebo group received maltodextrin, in matching dosages with the supplements administrated to the intervention group. Fecal bacterial composition was profiled using partial 16S rRNA gene amplicon sequencing and short-chain fatty acids analysis (SCFA) concentrations were determined with high liquid performance chromatography. Finally, the fecal levels of calprotectin, zonulin, and alpha-1-antitrypsin were measured, as markers of gastrointestinal barrier and inflammation.","The effect of nutritional intervention with lactoferrin, galactooligosacharides and vitamin D on the gut microbiota composition of healthy elderly women","ERS11982348,ERS11982347,ERS11982346,ERS11982345,ERS11982344,ERS11982343,ERS11982342,ERS11982341,ERS11982340,ERS11982339,ERS11982338,ERS11982337,ERS11982336,ERS11982335,ERS11982334,ERS11982333,ERS11982332,ERS11982331,ERS11982330,ERS11982329,ERS11982328,ERS11982327,ERS11982326,ERS11982325,ERS11982324"
MGYS00006559,102,PRJNA752174,SRP331280,"To date, much progress has been made in dietary therapy for obese patients. A low-carbohydrate diet (LCD) has reached a revival in its clinical use during the past decade with undefined mechanisms and debatable efficacy. Gut microbiota has been suggested to promote energy harvesting. Here, we propose that gut microbiota contributes to the inconsistent outcome under LCD. To test this hypothesis, patients with obesity or overweight were randomly assigned either to a normal diet (ND) or LCD group with ad libitum energy intake for 12 weeks. Using matched sampling, the microbiome profile at baseline and end-stage was examined. The relative abundance of butyrate-producing bacteria, Porphyromonadaceae Parabacteroides and Ruminococcaceae Oscillospira, was markedly increased after LCD intervention for 12 weeks. Moreover, within LCD group, participants with a higher relative abundance of Bacteroidaceae Bacteroides at baseline exhibited a better response to LCD intervention and achieved greater weight loss outcomes. Nevertheless, the adoption of an artificial neural network (ANN)-based prediction model greatly surpasses general linear model in predicting weight loss outcomes after LCD intervention. Therefore, gut microbiota served as a positive outcome predictor has the potential to predict weight loss outcomes after short-term LCD intervention. Gut microbiota may help to guide the clinical application of short-term LCD intervention to develop effective weight loss strategies.",Influence of gut microbiota on short-term low carbohydrate diet intervention for weight loss therapy,"SRS9692132,SRS9692131,SRS9692130,SRS9692129,SRS9692128,SRS9692127,SRS9692126,SRS9692125,SRS9692124,SRS9692123,SRS9692121,SRS9692122,SRS9692120,SRS9692119,SRS9692118,SRS9692117,SRS9692114,SRS9692115,SRS9692116,SRS9692113,SRS9692112,SRS9692111,SRS9692107,SRS9692110,SRS9692108"
MGYS00005628,424,PRJEB6070,ERP005534,"Several bacterial species have been implicated in the development of colorectal carcinoma (CRC), but CRC-associated changes of fecal microbiota and their potential for cancer screening remain to be explored. Here we used metagenomic sequencing of fecal samples to identify taxonomic markers that distinguished CRC patients from tumor-free controls in a study population of 156 participants. Accuracy of metagenomic CRC detection was similar to the standard fecal occult blood test (FOBT) and when both approaches were combined, sensitivity improved >45% relative to the FOBT while maintaining its specificity. Accuracy of metagenomic CRC detection did not differ significantly between early and late-stage cancer and could be validated in independent patient and control populations (N=335) from different countries. CRC-associated changes in the fecal microbiome at least partially reflected microbial community composition at the tumor itself, indicating that observed gene pool differences may reveal tumor-related host-microbe interactions. Indeed, we deduced a metabolic shift from fiber degradation in controls to utilization of host carbohydrates and amino acids in CRC patients accompanied by an increase of lipopolysaccharide metabolism.",Potential of fecal microbiota for early stage detection of colorectal cancer,"ERS436836,ERS436735,ERS436823,ERS436725,ERS436833,ERS436767,ERS436831,ERS436763,ERS436733,ERS436681,ERS436808,ERS436802,ERS436773,ERS436779,ERS436678,ERS436810,ERS436752,ERS436669,ERS436651,ERS436682,ERS436791,ERS436679,ERS436742,ERS436825,ERS436661"
MGYS00005360,184,PRJNA289586,SRP072561,"Recent evidence from high-resolution molecular studies suggests links between microbial dysbiosis in the gastrointestinal tract and a number of complex chronic diseases including diabetes mellitus. The present study forms a pilot study for the larger Luxembourg-based Diabetes Multiplex Family Study (MUST). Within the pilot study, we investigate the interplay of the gastrointestinal microbiota, lifestyle and genetic background in an observational study of families with two or more individuals affected by type 1 diabetes mellitus. Faecal samples which have undergone comprehensive biomolecular extractions are currently analysed using a multi-omics approach. Anthropometric data, including demographics, medical history, health status, medication, and dietary habits of all study participants were collected and are integrated with molecular data.",Human Gut Microbiome in a Multiplex Family Study of Type 1 Diabetes Mellitus,"SRS1369935,SRS1369968,SRS1369966,SRS1369961,SRS1369936,SRS1369934,SRS1369960,SRS1369937,SRS1369943,SRS3984271,SRS3984221,SRS3984234,SRS3984177,SRS3984252,SRS3984276,SRS3984190,SRS3984224,SRS3984290,SRS3984228,SRS3984253,SRS3984209,SRS3984240,SRS3984220,SRS3984202,SRS3984222"
MGYS00006431,24,PRJNA982880,SRP442920,"Prior investigations of the airway microbiome have inconsistently shown an association between bacterial community composition and bronchopulmonary dysplasia (BPD) development. However, these prior studies have focused exclusively on the bacterial microbiome. Here, we show features of the intestinal fungal microbiome predict the development of BPD in very low birthweight preterm newborns, and that this effect is transferable into mice with fecal microbiota transplant.",The fungal intestinal microbiota predict the development of bronchopulmonary dysplasia,"SRS18004384,SRS18004386,SRS18004391,SRS18004388,SRS18004392,SRS18004393,SRS18004394,SRS18004396,SRS18004405,SRS18004381,SRS18004382,SRS18004387,SRS18004385,SRS18004383,SRS18004389,SRS18004390,SRS18004395,SRS18004399,SRS18004402,SRS18004397,SRS18004401,SRS18004400,SRS18004398,SRS18004403"
MGYS00006453,86,PRJNA811494,SRP361980,"Investigating Bacteriome and Mycobiome interactions, and their contribution to lung cancer treatment. For treatment, anti-cancer combination therapy was used.",ITS2 and whole metagenomics from stool of human lung cancer patients from hungary,"SRS12144134,SRS12144133,SRS12144131,SRS12144130,SRS12144118,SRS12144117,SRS12144111,SRS12144109,SRS12144108,SRS12144106,SRS12144105,SRS12144103,SRS12144102,SRS12144101,SRS12144099,SRS12144096,SRS12144095,SRS12144087,SRS12144085,SRS12144083,SRS12144081,SRS12144079,SRS12144071,SRS12144070,SRS12144068"
MGYS00006419,75,PRJNA859507,SRP386769,"This study aims to investigate the dynamic changes and metabolic function of intestinal flora in patients with lung cancer and postoperative pneumonia (POP), and to provide new ideas and targets for the prevention and treatment of POP.",Dynamic changes of intestinal flora and metabolic function in patients with postoperative pneumonia after lung cancer surgery,"SRS13950226,SRS13950223,SRS13950222,SRS13950219,SRS13950218,SRS13950212,SRS13950209,SRS13950207,SRS13950204,SRS13950196,SRS13950195,SRS13950191,SRS13950187,SRS13950180,SRS13950177,SRS13950178,SRS13950175,SRS13950170,SRS13950167,SRS13950164,SRS13950165,SRS13950163,SRS13950228,SRS13950227,SRS13950225"
MGYS00006399,149,PRJNA805069,SRP359154,"Stool samples for microbial 16S amplicon sequencing and clinical data were collected from 75 lung cancer patients (50 of which were treated with checkpoint inhibitors) and 31 age-matched healthy volunteers. We compared using multivariate analyses cancer patients to healthy controls, and within lung cancer we compared patients with DCB to those without DCB.",Gut microbial signature in lung cancer patients highlights specific taxa as predictors for durable clinical benefit,"SRS11951794,SRS11951792,SRS11951785,SRS11951780,SRS11951770,SRS11951768,SRS11951767,SRS11951765,SRS11951764,SRS11951759,SRS11951757,SRS11951752,SRS11951748,SRS11951746,SRS11951747,SRS11951745,SRS11951736,SRS11951737,SRS11951730,SRS11951722,SRS11951720,SRS11951717,SRS11951714,SRS11951712,SRS11951701"
MGYS00006394,47,PRJNA782662,SRP347299,"Aside from PD-L1 expression, biomarkers of response to immune checkpoint inhibitors (ICI) in non-small cell lung cancer (NSCLC) are needed. In a previous retrospective analysis, we documented that fecal Akkermansia muciniphila (Akk) associated with clinical benefit of ICI in NSCLC and kidney cancer patients. In the current study, we performed shotgun metagenomics-based microbiome profiling in a large cohort of advanced NSCLC patients (n=338) treated with first or second line ICI, to prospectively validate the predictive value of fecal Akk. Baseline stool Akk was associated with increased objective response rates and overall survival in multivariate analyses, independent of PD-L1 expression, antibiotics and performance status. Intestinal Akk was accompanied by a richer commensalism, including Eubacterium hallii and Bifidobacterium adolescentis, and a more inflamed tumor microenvironment in a subset of patients. However, antibiotic use (20% of cases) coincided with a relative dominance of Akk above 4.8% accompanied with the genus Clostridium, both associated with resistance to ICI. Our study shows significant differences in relative abundance of Akk that may represent potential biomarkers to refine patient stratification in future studies.",Intestinal Akkermansia muciniphila predicts clinical response to PD-1 blockade in advanced non-small cell lung cancer patients.,"SRS11127694,SRS11127693,SRS11127689,SRS11127684,SRS11127682,SRS11127681,SRS11127676,SRS11127672,SRS11127671,SRS11127670,SRS11127668,SRS11127667,SRS11127665,SRS11127664,SRS11127659,SRS11127658,SRS11127656,SRS11127700,SRS11127698,SRS11127697,SRS11127696,SRS11127692,SRS11127688,SRS11127687,SRS11127685"
MGYS00006380,79,PRJNA736821,SRP323777,Exploring the relationship between gut microbial diversity and the development of lung cancer using 16s rRNA technology,Study of gut microbial diversity in lung cancer,"SRS9189384,SRS9189382,SRS9189378,SRS9189376,SRS9189375,SRS9189374,SRS9189366,SRS9189364,SRS9189363,SRS9189358,SRS9189356,SRS9189355,SRS9189354,SRS9189352,SRS9189349,SRS9189345,SRS9189337,SRS9189327,SRS9189326,SRS9189324,SRS9189325,SRS9189323,SRS9189318,SRS9189315,SRS9189313"
MGYS00006354,30,PRJNA668745,SRP287767,Evaluation of the associations between gut microbiota and outcomes in lung cancer patients who underwent lung resection surgery,Gut microbiome is associated with exercise tolerance of resected early-stage lung cancer patients,"SRS7540059,SRS7540058,SRS7540057,SRS7540055,SRS7540051,SRS7540050,SRS7540054,SRS7540063,SRS7540062,SRS7540061,SRS7540060,SRS7540056,SRS7540049,SRS7540052,SRS7540053,SRS7563347,SRS7563346,SRS7563345,SRS7563342,SRS7563336,SRS7563348,SRS7563343,SRS7563350,SRS7563341,SRS7563338"
MGYS00006353,37,PRJNA669372,SRP287511,Investigate alteration of gut and lung microbiota by RSV infection and streptomycin treatment.,Gut and lung microbiota in RSV-infected mice and streptomycin-treatment mice,"SRS7523117,SRS7523116,SRS7523112,SRS7523109,SRS7523108,SRS7523105,SRS7523128,SRS7523125,SRS7523110,SRS7523104,SRS7523098,SRS7523095,SRS7523114,SRS7523113,SRS7523106,SRS7523103,SRS7523101,SRS7523099,SRS7523097,SRS7523094,SRS7523119,SRS7523118,SRS7523122,SRS7523121,SRS7523102"
MGYS00006351,101,PRJNA665109,SRP285044,Phase 2 randomized study of neoadjuvant nivolumab or nivolumab plus ipilimumab followed by surgery in patients with resectable NSCLC using major pathologic response as primary endpoint (NCT03158129),NEOSTAR Study: Non-small cell lung cancer treated with nivolumab or nivolumab plus ipilimumab,"SRS7412711,SRS7412709,SRS7412707,SRS7412706,SRS7412705,SRS7412704,SRS7412700,SRS7412699,SRS7412697,SRS7412684,SRS7412682,SRS7412681,SRS7412678,SRS7412677,SRS7412671,SRS7412661,SRS7412660,SRS7412658,SRS7412656,SRS7412655,SRS7412654,SRS16669904,SRS16669895,SRS16669894,SRS16669893"
MGYS00006333,26,PRJNA561567,SRP219421,"The overall use of antibiotics has increased significantly in recent years. Besides fighting infections, antibiotics also alter the gut microbiota. Commensal bacteria in the gastrointestinal tract are crucial to maintain immune homeostasis, and microbial imbalance or dysbiosis affects disease susceptibility and progression. We hypothesized that antibiotic-induced dysbiosis of the gut microbiota would suppress cytokine profiles in the host, thereby leading to changes in the tumor microenvironment. Indeed, dysbiosis resulted in alterations in bacterial abundance, composition and diversity. On the host side, antibiotic-induced dysbiosis caused elongated small intestines and ceca, and B16-F10 melanoma and Lewis Lung carcinoma progressed more quickly than in orthobiotic control mice. Mechanistic studies revealed that this progression was mediated by suppressed TNF-a levels, both locally and systemically, resulting in reduced expression of tumor endothelial adhesion molecules, particularly intercellular adhesion molecule-1 (ICAM-1) and a subsequent decrease in the number of activated CD8+ T-cells in the tumor. However, suppression of ICAM-1 or its binding site, the alpha subunit of lymphocyte function-associated antigen-1, was not seen in the spleen or thymus during dysbiosis. TNF-a supplementation in dysbiotic mice was able to increase ICAM-1 expression and leukocyte trafficking into the tumor. Overall, these results demonstrate the importance of commensal bacteria in supporting anti-cancer immune surveillance, define an important role of tumor endothelial cells within this process, and suggest adverse consequences of antibiotics on distal cancer development. Significance: Antibiotic-induced dysbiosis enhances distal tumor progression by altering host cytokine levels resulting in suppression of leukocyte trafficking via modulation of tumor endothelial adhesion molecules.",Stromal modulation through gastrointestinal microbial dysbiosis,"SRS5311678,SRS5311679,SRS5311675,SRS5311674,SRS5311672,SRS5311669,SRS5311667,SRS5311665,SRS5311661,SRS5311655,SRS5311662,SRS5311660,SRS5311656,SRS5311654,SRS5311677,SRS5311676,SRS5311671,SRS5311666,SRS5311668,SRS5311664,SRS5311663,SRS5311657,SRS5311673,SRS5311670,SRS5311659"
