,id
85,MGYS00005446
86,MGYS00005392
87,MGYS00005411
88,MGYS00005412
89,MGYS00005408
90,MGYS00003576
91,MGYS00005399
92,MGYS00005400
93,MGYS00005393
94,MGYS00005394
95,MGYS00005377
96,MGYS00005373
97,MGYS00005375
98,MGYS00003481
99,MGYS00005381
100,MGYS00005382
101,MGYS00005378
102,MGYS00005376
103,MGYS00005374
104,MGYS00003510
105,MGYS00001983
106,MGYS00001982
107,MGYS00005359
108,MGYS00005358
109,MGYS00002038
110,MGYS00005357
111,MGYS00002334
112,MGYS00005350
113,MGYS00005347
114,MGYS00005341
115,MGYS00005340
116,MGYS00005339
117,MGYS00005338
118,MGYS00005336
119,MGYS00002309
120,MGYS00005218
121,MGYS00005219
122,MGYS00005314
123,MGYS00005198
124,MGYS00005203
125,MGYS00005211
126,MGYS00005192
127,MGYS00005225
128,MGYS00005195
129,MGYS00005191
130,MGYS00005184
123 families, we identified 58 SNPs associated with the relative abundance of 33 taxa in 1 
with Faecalibacterium, and rs28473221 (SALL3) associated with Eubacterium. After correction for multiple testing
131,MGYS00005190
132,MGYS00001186
133,MGYS00005159
134,MGYS00005235
135,MGYS00005247
136,MGYS00005128
137,MGYS00005147
138,MGYS00005142
139,MGYS00005131
140,MGYS00005130
141,MGYS00005129
142,MGYS00005107
143,MGYS00003894
144,MGYS00003733
145,MGYS00003475
146,MGYS00003441
147,MGYS00003191
148,MGYS00002177
149,MGYS00001647
150,MGYS00001541
151,MGYS00001258
152,MGYS00001257
153,MGYS00001250
154,MGYS00001249
155,MGYS00001220
156,MGYS00001213
157,MGYS00001212
158,MGYS00001210
159,MGYS00001194
160,MGYS00001190
161,MGYS00001071
162,MGYS00005105
163,MGYS00005086
164,MGYS00005076
165,MGYS00004728
166,MGYS00003715
167,MGYS00003712
168,MGYS00003577
169,MGYS00003484
170,MGYS00003480
171,MGYS00003479
172,MGYS00003478
173,MGYS00003469
174,MGYS00003367
175,MGYS00003346
176,MGYS00003199
177,MGYS00003148
178,MGYS00003147
179,MGYS00003143
180,MGYS00003135
in Esmeraldas Province
the presence of STH infections and allocated to one of 3 groups: 
uninfected, and mixed infections with T. trichiura 
and Ascaris lumbricoides. A sample of uninfected children and those with 
T. trichiura infections only were treated with albendazole (800 mg/day 
for 3 days) and ivermectin (single dose of 200 ug/kg)
were collected 3 weeks post-treatment. Bacterial DNA was extracted using 
the FastDNA Spin kit for soil
studied by 454 pyrosequencing of 16S rRNA genes. This generated 999
sequences

Results: Microbiota analyses were done using stool samples from 97 
children aged 8-14 years of whom 30 were not infected
with T. trichiura alone
trichiura and A. lumbricoides. Post-treatment samples were analyzed for 
14 of the 17 children initially infected with T. trichiura alone and 21 
of 30 uninfected children. Treatment resulted in 100% cure of STH 
infections. Comparisons of the microbiota at different taxonomic levels 
showed no statistically significant differences in composition between 
uninfected children and those with T. trichiura infections. A surprising 
finding was a decreased proportional abundance of a few bacterial genera 
from the clostridia class of Firmicutes
overall bacterial diversity
compared to either uninfected children or those with T. trichiura 
infections only
infection on intestinal microbiota.  Anthelmintic treatment of children 
with T. trichiura did not appear to alter composition of faecal microbiota.

Discussion: This is the first molecular study to analyse the effect of 
whipworm infection on the human intestinal microbiota. Our data indicate 
that T. trichiura infections alone have no effect on the faecal 
microbiota of children living in endemic communities
lumbricoides colonisation might be associated with a disturbed 
microbiota. Our results also catalogue the microbiota that is present in 
rural Ecuadorians
cohort and individuals from more urban,Human_infections_with_the_whipworm__Trichuris_trichiura__are_not_associated_with_alterations_in_the_faecal_microbiota_
181,MGYS00002961
182,MGYS00002690
183,MGYS00002687
184,MGYS00002685
185,MGYS00002677
186,MGYS00002480
187,MGYS00002436
188,MGYS00002434
189,MGYS00002431
190,MGYS00002430
191,MGYS00002419
192,MGYS00002418
193,MGYS00002417
194,MGYS00002415
195,MGYS00002411
196,MGYS00002339
197,MGYS00002338
198,MGYS00002331
199,MGYS00002216
200,MGYS00002207
201,MGYS00002139
202,MGYS00002138
203,MGYS00002081
204,MGYS00002064
205,MGYS00002060
206,MGYS00002057
207,MGYS00002056
208,MGYS00002052
209,MGYS00002046
210,MGYS00002027
211,MGYS00002021
212,MGYS00001991
213,MGYS00001960
214,MGYS00001908
215,MGYS00001901
216,MGYS00001893
217,MGYS00001892
218,MGYS00001887
219,MGYS00001886
220,MGYS00001868
221,MGYS00001809
222,MGYS00001803
223,MGYS00001799
224,MGYS00001748
225,MGYS00001708
226,MGYS00001705
227,MGYS00001679
228,MGYS00001650
229,MGYS00001626
230,MGYS00001623
231,MGYS00001581
232,MGYS00001556
233,MGYS00001537
234,MGYS00001493
235,MGYS00001444
236,MGYS00001442
237,MGYS00001420
238,MGYS00001342
239,MGYS00001315
240,MGYS00001313
241,MGYS00001308
242,MGYS00001280
243,MGYS00001279
244,MGYS00001256
245,MGYS00001252
246,MGYS00001251
247,MGYS00001208
248,MGYS00001184
249,MGYS00001175
250,MGYS00001099
251,MGYS00000489
252,MGYS00000585
253,MGYS00000367
254,MGYS00000564
255,MGYS00000543
256,MGYS00000258
257,MGYS00000277
In this application, genes
The central hypotheses of this proposal are (1) that specific members and/or functional activities of the gastrointestinal (GI) microbiota differ in patients with Crohn’s disease as compared to healthy individuals, metagenomics
The ultimate goal of these efforts is to identify novel biomarkers for non-invasive diagnostics of CD and to eventually identify drug targets (i.e. bacterial strains) for cure or suppression of disease symptoms. 
PUBLIC HEALTH RELEVANCE: This study aims to unravel the contribution of the bacteria that normally inhabit the human gastrointestinal tract to Crohn’s disease by using a multidisciplinary approach to study changes in the structure and function of gut microbial communities in three sets of patient cohorts who have Crohn’s disease. These results will be compared with those obtained from the study of healthy individuals and have the potential to identify new biomarkers of disease severity, and progression."
258,MGYS00000278
259,MGYS00000294
                gut microbiota and the host in breast-fed versus formula-fed infants. Due to the
                lack of tissue biopsies
                analysis of the developing intestine in healthy infants. As a result
                between the microbiome and the host transcriptome in the developing
                mucosal-commensal environment has not been determined. In this study
                the host intestinal mRNA gene expression and microbial DNA profiles in full term 3
                month-old infants exclusively formula fed (FF; n=6) or breast fed (BF; n=6) from
                birth to 3 months. Host mRNA microarray measurements were performed on intact
                sloughed epithelial cells in stool samples collected at 3 months. Microbial
                composition from the same stool samples was assessed by metagenomic pyrosequencing.
                Both host mRNA expression and bacterial microbiome phylogenetic profiles provided
                strong feature sets that classified the two groups of babies (FF and BF). To
                determine the relationship between epithelial cell gene expression and the bacterial
                colony profiles
                were analyzed in a multivariate manner. From a functional perspective
                the gut microbiota's metagenome revealed that virulence characteristics differed
                between the FF and BF babies. Using canonical correlation analysis
                multivariate structure relating eleven host immunity/mucosal defense-related genes
                and microbiome virulence characteristics was observed. These results
                time
                dietary substrates in the early neonatal period.In this study
                and microbial DNA profiles in full term 3 month-old infants exclusively formula fed
                (FF; n=6) or breast fed (BF; n=6) from birth to 3 months. Host mRNA microarray
                measurements were performed on intact sloughed epithelial cells in stool samples
                collected at 3 months. Microbial composition from the same stool samples was
                assessed by metagenomic pyrosequencing. Both host mRNA expression and bacterial
                microbiome phylogenetic profiles provided strong feature sets that classified the
                two groups of babies (FF and BF). To determine the relationship between epithelial
                cell gene expression and the bacterial colony profiles
                functionally profiled microbiome data were analyzed in a multivariate manner. From a
                functional perspective
                virulence characteristics differed between the FF and BF babies. Using canonical
                correlation analysis
                immunity/mucosal defense-related genes and microbiome virulence characteristics was
                observed. These results, provide insight into the integrated
                responses of the host and microbiome to dietary substrates in the early neonatal
                period.",SUBMITTED
260,MGYS00000304
261,MGYS00000306
We have applied this methodology to study human gut microbiota. From the 358 analysed clones from the library obtained from a faecal sample we found various ORFs annotated as enzymes with already reported industrial or medical application. Finally
This method represents a new approach to explore microbial ecosystems, providing a scalable access to clones with potentially biotechnological and biomedical applications. Thus
262,MGYS00000307
263,MGYS00000308
 associated with acute diarrheoa.
 Bacterial composition and encoded functions were fairly stable throughout. On the contrary, although with low reproducibility between and within patients. Similarly
264,MGYS00000314
265,MGYS00000319
266,MGYS00000322
267,MGYS00000350
268,MGYS00000351
269,MGYS00000352
270,MGYS00000394
271,MGYS00000412
272,MGYS00000432
273,MGYS00000456
274,MGYS00000465
275,MGYS00000467
276,MGYS00000499
277,MGYS00000500
278,MGYS00000502
279,MGYS00000521
