attributes.accession,attributes.bioproject,attributes.centre-name,attributes.data-origination,attributes.is-private,attributes.last-update,attributes.public-release-date,attributes.samples-count,attributes.secondary-accession,attributes.study-abstract,attributes.study-name,id,links.self,relationships.analyses.links.related,relationships.biomes.data.0.id,relationships.biomes.data.0.links.self,relationships.biomes.data.0.type,relationships.biomes.data.1.id,relationships.biomes.data.1.links.self,relationships.biomes.data.1.type,relationships.biomes.data.2.id,relationships.biomes.data.2.links.self,relationships.biomes.data.2.type,relationships.biomes.links.related,relationships.downloads.links.related,relationships.geocoordinates.links.related,relationships.publications.links.related,relationships.samples.links.related,type
MGYS00003575,PRJEB26165,EMG,SUBMITTED,false,2024-01-10T13:47:15,,123,ERP108138,"The human gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJNA240307.  This project includes samples from the following biomes: Host-associated, Human, Digestive system, Large intestine, Fecal.",EMG produced TPA metagenomics assembly of the C.diff FMT (human gut metagenome) data set.,MGYS00003575,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003575,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003575/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003575/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003575/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003575/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003575/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003575/samples,studies
MGYS00006553,PRJEB67980,EMG,SUBMITTED,false,2024-01-09T03:36:29,,82,ERP152995,"The Third Party Annotation (TPA)  assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB27928, and was assembled with metaspades v3.15.3. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJEB27928 data set (Meta-analysis of fecal metagenomes reveals global microbial signatures that are specific for colorectal cancer.).,MGYS00006553,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006553,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006553/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006553/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006553/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006553/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006553/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006553/samples,studies
MGYS00001278,PRJEB6518,CCME-COLORADO,SUBMITTED,false,2024-01-08T13:29:07,,820,ERP006059,"Background,disturbance to human microbiota has been associated with numerous pathologies. Yet, we lack a comprehensive understanding for how human health and lifestyle affect the dynamics of human-associated microbial communities. Results, we link over 10,000 longitudinal measurements of host wellness and action to the daily gut and salivary microbiota dynamics of two individuals over the course of one year. These time-series show overall microbial communities to be stable for months. However, rare events in each of the subjects life rapidly and broadly impacted microbiota dynamics. Travel from the developed to the developing world in one subject led to a nearly two-fold increase in the Bacteroidetes to Firmicutes ratio, which reversed upon return. Enteric infection in the other subject resulted in the permanent decline of most gut bacterial taxa, which were replaced by genetically-similar species. Still, even during periods of overall community stability, we could associate the dynamics of select microbial taxa to specific host behaviors. Most prominently, changes in host fiber intake correlated with next-day abundance changes among 15 percent of gut microbiota members.Conclusions,our findings suggest that although human-associated microbial communities are generally stable, they can be quickly and profoundly altered by common human actions and experiences.",Host lifestyle affects human microbiota on daily timescales,MGYS00001278,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001278,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001278/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001278/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001278/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001278/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001278/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001278/samples,studies
MGYS00000580,PRJEB11846,UNIVERSITY OF FLORENCE,SUBMITTED,false,2024-01-08T11:25:05,,75,ERP013262,Characterization of gut microbiota in Juvenile Idiopathic arthritis and comparison with healthy subjects.,Gut microbiota of Juvenile Idiopathic arthritis,MGYS00000580,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000580,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000580/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000580/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000580/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000580/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000580/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000580/samples,studies
MGYS00001211,PRJNA326143,Seoul National University,HARVESTED,false,2024-01-05T09:30:27,,8,SRP076746,"The objective of this study was to investigate the general characteristics and environmental factors, such as dietary pattern and physical activities, of elderly women from Seoul and Jeju Island, and to characterize the composition of their fecal microbiota",human gut metagenome Metagenome,MGYS00001211,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001211,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001211/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001211/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001211/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001211/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001211/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001211/samples,studies
MGYS00006023,PRJNA787810,Luxia Scientific,HARVESTED,false,2024-01-04T11:43:42,,131,SRP350207,"In the context of the COVID-19 pandemic, the role of the gut microbiome is yet unknown. The aim of this trial is to evaluate the clinical contribution of the gut microbiome composition and diversity on the disease severity and to estimate the viral load in stool samples.",Observational Study on the Diagnostic Evaluation of the Intestinal Microbiota of Patients With COVID-19. (EDIFICE),MGYS00006023,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006023,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006023/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006023/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006023/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006023/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006023/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006023/samples,studies
MGYS00006121,PRJEB57228,Quadram Institute Bioscience,SUBMITTED,false,2024-01-04T11:33:48,,42,ERP142200,[Placeholder],Dietary intervention of people with Parkinson's disease,MGYS00006121,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006121,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006121/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006121/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006121/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006121/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006121/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006121/samples,studies
MGYS00006226,PRJNA774891,Technical Univeristy of Munich,HARVESTED,false,2023-12-21T13:33:23,,67,SRP343296,"Aim of this project was to investgigate the effect of fiber-rich diets in the human gut microbiome. The participants were asked to visit the study center sober and received the intervention meal or placebo meal. Additionally, a capsule with food coloring was administered. The intake of the dye stains the stool green which helps to associate collected stool samples and food intake. 16S rRNA gene was sequenced at ZIEL Core Facility Microbiome, Technical University Munich, Germany.",Effects of Dietary Fiber Intervention on Gut Microbiota in Healthy People,MGYS00006226,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006226,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006226/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006226/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006226/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006226/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006226/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006226/samples,studies
MGYS00006224,PRJEB52848,"WAGENINGEN UNIVERSITY, LABORATORY OF MICROBIOLOGY",SUBMITTED,false,2023-12-21T12:34:37,,100,ERP137596,"in the present study, we examined the effect of bovine lactoferrin, galactoligosacharides and vitamind D on the gut microbiota composition of 25 elderly women. Participants were distributed into two groups receiving either the dietary intervention (n=12) or the placebo treatment (n=13) for a total period of 9 weeks. During the first 3 weeks of the study, the intervention group consumed 1 g/day bLF, followed by 3 weeks of 1 g/day bLF and 2.64g/day active galactooligosaccharides (GOS), and 3 weeks of 1 g/day bLF, 2.64g/day GOS and 20 μg/day of vitamin D. The placebo group received maltodextrin, in matching dosages with the supplements administrated to the intervention group. Fecal bacterial composition was profiled using partial 16S rRNA gene amplicon sequencing and short-chain fatty acids analysis (SCFA) concentrations were determined with high liquid performance chromatography. Finally, the fecal levels of calprotectin, zonulin, and alpha-1-antitrypsin were measured, as markers of gastrointestinal barrier and inflammation.","The effect of nutritional intervention with lactoferrin, galactooligosacharides and vitamin D on the gut microbiota composition of healthy elderly women",MGYS00006224,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006224,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006224/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006224/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006224/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006224/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006224/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006224/samples,studies
MGYS00006559,PRJNA752174,"Institute of Microbiology, GuangdongAcademy of Sciences",HARVESTED,false,2023-12-21T11:28:40,,102,SRP331280,"To date, much progress has been made in dietary therapy for obese patients. A low-carbohydrate diet (LCD) has reached a revival in its clinical use during the past decade with undefined mechanisms and debatable efficacy. Gut microbiota has been suggested to promote energy harvesting. Here, we propose that gut microbiota contributes to the inconsistent outcome under LCD. To test this hypothesis, patients with obesity or overweight were randomly assigned either to a normal diet (ND) or LCD group with ad libitum energy intake for 12 weeks. Using matched sampling, the microbiome profile at baseline and end-stage was examined. The relative abundance of butyrate-producing bacteria, Porphyromonadaceae Parabacteroides and Ruminococcaceae Oscillospira, was markedly increased after LCD intervention for 12 weeks. Moreover, within LCD group, participants with a higher relative abundance of Bacteroidaceae Bacteroides at baseline exhibited a better response to LCD intervention and achieved greater weight loss outcomes. Nevertheless, the adoption of an artificial neural network (ANN)-based prediction model greatly surpasses general linear model in predicting weight loss outcomes after LCD intervention. Therefore, gut microbiota served as a positive outcome predictor has the potential to predict weight loss outcomes after short-term LCD intervention. Gut microbiota may help to guide the clinical application of short-term LCD intervention to develop effective weight loss strategies.",Influence of gut microbiota on short-term low carbohydrate diet intervention for weight loss therapy,MGYS00006559,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006559,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006559/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006559/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006559/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006559/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006559/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006559/samples,studies
MGYS00006431,PRJNA982880,University of Alabama at Birmingham,HARVESTED,false,2023-09-26T14:44:06,,24,SRP442920,"Prior investigations of the airway microbiome have inconsistently shown an association between bacterial community composition and bronchopulmonary dysplasia (BPD) development. However, these prior studies have focused exclusively on the bacterial microbiome. Here, we show features of the intestinal fungal microbiome predict the development of BPD in very low birthweight preterm newborns, and that this effect is transferable into mice with fecal microbiota transplant.",The fungal intestinal microbiota predict the development of bronchopulmonary dysplasia,MGYS00006431,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006431,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006431/analyses,root:Host-associated:Human:Digestive system:Large intestine:Fecal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal,biomes,,,,,,,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006431/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006431/downloads,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006431/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006431/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00006431/samples,studies
